park01, area01,cons01, buiilt01, ocu01, availa01
Azua,2227425,0,48563,32375,16188
Baní,10760000,0,419156,307882,111274
Barahona,2621625,0,498249,498249,0
Bayaguana,1346587,0,32355,32355,0
Bonao,2582400,0,278577,278577,0
Caribbean Ind. Park,3000000,47843,825766,745112,80654
Cibernético,2743800,100000,100000,1000,99000
Cotuí,222796,16187,56564.14,43940,12624
Chemtec,1257730,0,456206,426206,30000
El Seibo,1203154,0,32375,32375,0
Esperanza,4354346,30000,679713,679713,0
Excel Boca Chica,70000,0,35000,24760,10240
Global,731180,0,199067,199067,0
Gurabo,1024990,0,240000,136000,104000
Hainamosa,2152000,0,414600,384301,30299
Hato Mayor,506272,16187,68033,54436,13597
Hato Nuevo,1353608,14001,132166,132166,0
Higuey,637788,0,78651,78651,0
Itabo,6534000,0,1394570,1333853,60717
Jaibón,365463,0,75320,37660,37660
La Armería,1416919,16187,275783,275783,0
La Romana I,2690000,0,1063858,933001,130857
La Romana II,8070000,0,327131,327131,0
La Vega,1469998,0,1116683,1116683,0
Laguna Prieta,183232,0,16000,16000,0
Las Américas,8072933,0,1193592,1174335,19257
Los Alcarrizos,804337,16187,563307,531735,31572
Los Minas,1353608,0,45892,22637,23255
Montecristi,1117493,0,48563.31,32375,16188
Moca,920583,0,493156,493156,0
Navarrete,810120,0,300000,186591,113409
Nigua,1946473,6000,514668,470363,44305
Palmar Abajo,304078,0,121886,121886,0
Palmarejo,419135,0,134278,134278,0
Pedernales,145572,0,30401,30401,0
Pisano,6468000,40000,735664,733317,2346
Pontezuela,84700,0,21000,21000,0
Puerto Plata,2762520,15000,407889,393169,14720
Salcedo,1363054,0,48563,48563,0
San Fco. De Macorís,1427817,0,180935,180935,0
San Isidro,5500000,35500,973647,973647,0
San Pedro de Macorís,3228000,0,2439826,2201865,237961
"Santiago I,II",7453349,8000,3615811,3575811,40000
Santiago Jánico,1400000,0,140000,140000,0
Santiago Licey,1129800,10000,155000,145351,9649
Tamboril,297943,0,191724,191724,0
Villa Altagracia,2619862,16864,202317,184043,18274
Villa Mella,5925682,0,400289.32,338988,61301.32
Zofinma (Mao),4304000,0,38000,38000,0
Zona Franca Ind. Luna,479142.8,0,54000,54000,0
Quisqueya,1692010,0,52125.31,52125.31,0
